Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04622:RIG-I-like receptor signaling pathway	19	0.6272697259821723	0.016870935575421922	A_23_P209408, A_23_P29347, A_23_P209389, A_24_P937855, A_23_P61371, A_23_P67162, A_23_P819, A_24_P936767, A_23_P38346, A_23_P71774, A_23_P20814, A_23_P130169, A_24_P378019, A_23_P68155, A_24_P244356, A_23_P36129, A_24_P303091, A_24_P118892, A_23_P68539, A_23_P502274	773	71	5085	1.7603811744984788	0.9591886784035041	0.36680118400402595	19.030822615192942
BIOCARTA	h_RacCycDPathway:Influence of Ras and Rho proteins on G1 to S Transition	9	0.29712776493892373	0.018673394872012833	A_23_P24997, A_24_P237265, A_32_P217709, A_23_P80032, A_23_P215406, A_23_P37910, A_23_P69491, A_23_P98183, A_23_P209200, A_23_P59210	216	24	1437	2.494791666666667	0.9931010442492229	0.6303789708786485	21.884136018738452
KEGG_PATHWAY	hsa04940:Type I diabetes mellitus	13	0.4291845493562232	0.01899967381815549	A_32_P234459, A_24_P912382, A_24_P166443, A_24_P311926, A_24_P298409, A_24_P326082, A_32_P356316, A_32_P87697, A_23_P150609, A_23_P70539, A_23_P408353, A_23_P31006, A_24_P50245, A_23_P145264, A_24_P343233	773	42	5085	2.036130105340972	0.9728480806412999	0.362874383415139	21.179336935406447
KEGG_PATHWAY	hsa05219:Bladder cancer	13	0.4291845493562232	0.01899967381815549	A_23_P24997, A_24_P237265, A_24_P178011, A_23_P43490, A_23_P40174, A_23_P1594, A_23_P215956, A_23_P89249, A_23_P98183, A_23_P215790, A_23_P80032, A_23_P37910, A_23_P59210, A_23_P91802	773	42	5085	2.036130105340972	0.9728480806412999	0.362874383415139	21.179336935406447
BIOCARTA	h_mPRPathway:How Progesterone Initiates the Oocyte Maturation	8	0.2641135688345989	0.020838419718392075	A_24_P396650, A_23_P70249, A_23_P308603, A_24_P168574, A_23_P37910, A_23_P98183, A_23_P67162, A_23_P122976	216	20	1437	2.661111111111111	0.9961491886313348	0.6040940389256357	24.112293118948557
BIOCARTA	h_integrinPathway:Integrin Signaling Pathway	11	0.36315615714757343	0.022172725248442857	A_23_P308603, A_23_P66319, A_23_P200443, A_23_P152024, A_24_P237265, A_23_P115021, A_23_P37910, A_23_P69491, A_23_P98183, A_23_P138835, A_24_P184555	216	34	1437	2.1523692810457518	0.997313376559142	0.5707168634320248	25.45611280097856
KEGG_PATHWAY	hsa00920:Sulfur metabolism	6	0.19808517662594916	0.02495845650170667	A_23_P150857, A_23_P106773, A_23_P501451, A_23_P310421, A_23_P104046, A_23_P80473	773	12	5085	3.289133247089263	0.9913633252146676	0.41019944884114345	26.917893040698317
KEGG_PATHWAY	hsa05332:Graft-versus-host disease	12	0.3961703532518983	0.026594015567600184	A_32_P234459, A_24_P912382, A_24_P166443, A_24_P311926, A_24_P298409, A_32_P356316, A_32_P87697, A_24_P326082, A_23_P70539, A_23_P408353, A_23_P31006, A_24_P50245, A_23_P145264, A_24_P343233	773	39	5085	2.024081998208777	0.9937009617947012	0.3975411003582957	28.424383792484686
KEGG_PATHWAY	hsa00563:Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	9	0.29712776493892373	0.026883423832016196	A_23_P502609, A_23_P379794, A_23_P86252, A_23_P143935, A_23_P217079, A_23_P132973, A_23_P143484, A_23_P103248, A_23_P46378	773	25	5085	2.3681759379042693	0.9940434383357605	0.3723364966184912	28.687961472866185
KEGG_PATHWAY	hsa00190:Oxidative phosphorylation	29	0.957411687025421	0.03134876988460943	A_23_P87616, A_23_P65157, A_24_P285831, A_23_P108303, A_23_P140423, A_23_P93623, A_24_P288993, A_23_P164228, A_23_P500410, A_23_P252322, A_23_P317056, A_23_P165086, A_23_P127353, A_23_P257795, A_23_P52639, A_24_P893239, A_24_P48617, A_23_P33216, A_23_P50872, A_23_P75299, A_23_P208540, A_23_P125420, A_23_P146058, A_23_P68866, A_24_P174346, A_24_P168456, A_23_P51069, A_24_P416951, A_24_P233850	773	130	5085	1.4674594487013635	0.9974911329198043	0.3928586605493276	32.64328760501248
BIOCARTA	h_ucalpainPathway:uCalpain and friends in Cell spread	6	0.19808517662594916	0.033148447903141975	A_23_P308603, A_23_P115021, A_32_P217709, A_23_P215406, A_23_P69491, A_23_P138835, A_24_P184555	216	13	1437	3.0705128205128203	0.9998635458124332	0.671244249207021	35.70456282052298
BIOCARTA	h_tffPathway:Trefoil Factors Initiate  Mucosal Healing	8	0.2641135688345989	0.035213827746385803	A_23_P200443, A_24_P341761, A_24_P237265, A_23_P215790, A_23_P37910, A_23_P69491, A_23_P98183, A_23_P89249	216	22	1437	2.419191919191919	0.999922410568592	0.6506092551614204	37.48104577199821
KEGG_PATHWAY	hsa04916:Melanogenesis	23	0.7593265103994717	0.03837727246150553	A_24_P168574, A_24_P237265, A_24_P936692, A_24_P353912, A_23_P162322, A_23_P209449, A_23_P63232, A_23_P501547, A_23_P64617, A_23_P326170, A_23_P98183, A_23_P67864, A_23_P144113, A_23_P127013, A_23_P371410, A_23_P347432, A_23_P6099, A_23_P150407, A_23_P37910, A_23_P46903, A_23_P141362, A_23_P123276, A_23_P102113, A_23_P122976	773	99	5085	1.5282841350111727	0.9993619022711823	0.43216508587086166	38.46227697401841
KEGG_PATHWAY	hsa04612:Antigen processing and presentation	20	0.6602839220864972	0.039585602044417426	A_32_P234459, A_24_P303770, A_24_P912382, A_24_P166443, A_24_P311926, A_23_P165180, A_23_P59005, A_24_P298409, A_24_P326082, A_32_P356316, A_32_P87697, A_23_P37441, A_23_P70539, A_24_P295999, A_23_P408353, A_23_P31006, A_24_P50245, A_23_P151614, A_23_P145264, A_24_P343233, A_23_P65427, A_32_P163247	773	83	5085	1.5851244564285603	0.9994962344351536	0.41864034257831495	39.41479895494526
BIOCARTA	h_crebPathway:Transcription factor CREB and its extracellular signals	7	0.231099372730274	0.0404139850956347	A_24_P396650, A_24_P168574, A_24_P237265, A_32_P217709, A_23_P215406, A_23_P37910, A_23_P46903, A_23_P98183	216	18	1437	2.587191358024691	0.9999813726012277	0.6634766363261231	41.75500950634113
KEGG_PATHWAY	hsa04330:Notch signaling pathway	13	0.4291845493562232	0.04394625821789756	A_23_P8452, A_23_P39814, A_23_P103398, A_23_P106024, A_23_P434518, A_24_P208992, A_23_P205686, A_23_P347432, A_23_P336708, A_24_P138912, A_23_P12329, A_23_P66608, A_23_P29994, A_23_P347040	773	47	5085	1.8195205196664006	0.9997858720071736	0.430651435843047	42.74068932669807
KEGG_PATHWAY	hsa05210:Colorectal cancer	20	0.6602839220864972	0.04418061992480021	A_24_P237265, A_24_P178011, A_24_P878992, A_32_P217709, A_23_P209449, A_23_P92410, A_23_P64617, A_23_P215406, A_23_P48936, A_23_P215956, A_23_P218774, A_24_P341897, A_23_P208870, A_24_P79054, A_23_P135184, A_23_P208132, A_23_P127013, A_23_P215790, A_23_P347432, A_23_P37910, A_24_P254133, A_23_P141362, A_23_P123276	773	84	5085	1.5662539271853633	0.9997955173751667	0.4119476014593476	42.91459201199264
KEGG_PATHWAY	hsa04310:Wnt signaling pathway	32	1.0564542753383956	0.044503395451864866	A_23_P106798, A_23_P162322, A_24_P878992, A_32_P217709, A_23_P64617, A_23_P69491, A_23_P48936, A_23_P322519, A_23_P218774, A_23_P127013, A_23_P140394, A_24_P46946, A_23_P12784, A_23_P6099, A_23_P41804, A_23_P46903, A_23_P15647, A_23_P102113, A_23_P211550, A_24_P97931, A_24_P178011, A_23_P209449, A_23_P35796, A_23_P215406, A_24_P208992, A_23_P215956, A_23_P23584, A_23_P308097, A_23_P107661, A_23_P371410, A_23_P347432, A_23_P205686, A_24_P254133, A_23_P141362, A_23_P123276	773	151	5085	1.3940697206206147	0.9998080978501767	0.3955538194542132	43.153305255806494
BIOCARTA	h_barr-mapkPathway:Role of ï¿½-arrestins in the activation and targeting of MAP kinases	6	0.19808517662594916	0.045455869518237955	A_24_P168574, A_24_P237265, A_24_P386622, A_23_P6099, A_23_P37910, A_23_P135273	216	14	1437	2.851190476190476	0.9999953639614912	0.672580699842753	45.63969061208443
BIOCARTA	h_sppaPathway:Aspirin Blocks Signaling Pathway Involved in Platelet Activation	7	0.231099372730274	0.051929501256028604	A_23_P308603, A_32_P212886, A_24_P274814, A_24_P237265, A_23_P6099, A_23_P37910, A_23_P98183, A_23_P122976	216	19	1437	2.4510233918128654	0.9999992309987364	0.6906187989386622	50.27672166470898
KEGG_PATHWAY	hsa04120:Ubiquitin mediated proteolysis	29	0.957411687025421	0.05690568796441638	A_23_P106798, A_24_P913227, A_24_P200583, A_24_P207139, A_24_P210888, A_24_P364025, A_23_P75741, A_24_P174613, A_24_P54847, A_24_P318836, A_23_P83159, A_23_P203137, A_32_P155506, A_23_P83438, A_23_P334664, A_23_P306148, A_23_P37870, A_23_P112311, A_23_P148446, A_23_P420196, A_23_P211550, A_23_P90280, A_23_P397910, A_23_P52610, A_23_P358944, A_24_P171873, A_23_P156310, A_24_P243881, A_23_P355824, A_23_P212715, A_23_P97423, A_23_P312181	773	137	5085	1.3924797688407098	0.9999835425098196	0.4576964811195128	51.659821914114964
BIOCARTA	h_spryPathway:Sprouty regulation of tyrosine kinase signals	6	0.19808517662594916	0.0601434755524555	A_23_P308603, A_23_P200443, A_24_P237265, A_23_P215790, A_23_P37910, A_23_P98183	216	15	1437	2.661111111111111	0.9999999226870927	0.7162456932143701	55.634504434487056
KEGG_PATHWAY	hsa00480:Glutathione metabolism	13	0.4291845493562232	0.06673438288622224	A_23_P51548, A_23_P357571, A_23_P97606, A_24_P76267, A_23_P253495, A_23_P57236, A_23_P20107, A_23_P200199, A_32_P319200, A_23_P93141, A_23_P18604, A_23_P202206, A_32_P50452, A_23_P214300, A_23_P106204	773	50	5085	1.7103492884864164	0.9999977039041084	0.49509461674136734	57.551862380718646
BIOCARTA	h_cell2cellPathway:Cell to Cell Adhesion Signaling	5	0.1650709805216243	0.06815259669778292	A_23_P308603, A_23_P66319, A_23_P152024, A_23_P115021, A_24_P184555	216	11	1437	3.023989898989899	0.9999999919271474	0.7358014061525984	60.340491012449085
KEGG_PATHWAY	hsa04530:Tight junction	28	0.924397490921096	0.07028409643481619	A_23_P24997, A_24_P936692, A_24_P353912, A_23_P9293, A_23_P140821, A_23_P258018, A_24_P115183, A_23_P69491, A_23_P98183, A_23_P308603, A_24_P79300, A_23_P144113, A_23_P37942, A_23_P108157, A_23_P207957, A_23_P54809, A_24_P97931, A_23_P129738, A_23_P39074, A_23_P208870, A_23_P107661, A_23_P308097, A_23_P71017, A_23_P115021, A_24_P108517, A_23_P405088, A_23_P164284, A_23_P25224, A_23_P122976	773	134	5085	1.3745631480373037	0.9999988783719069	0.4959281510766713	59.51210830739
KEGG_PATHWAY	hsa05340:Primary immunodeficiency	10	0.3301419610432486	0.0725886958868984	A_24_P295999, A_23_P59005, A_23_P165180, A_23_P107735, A_24_P398585, A_23_P404494, A_24_P59667, A_23_P210482, A_23_P113572, A_32_P163247	773	35	5085	1.8795047126224358	0.9999992965902077	0.49065748983389845	60.73983791519822
KEGG_PATHWAY	hsa03410:Base excision repair	10	0.3301419610432486	0.0725886958868984	A_23_P163099, A_23_P97889, A_24_P402779, A_24_P398585, A_23_P256682, A_23_P360215, A_23_P154234, A_23_P39116, A_23_P50455, A_24_P48162	773	35	5085	1.8795047126224358	0.9999992965902077	0.49065748983389845	60.73983791519822
BIOCARTA	h_sam68Pathway:Regulation of Splicing through Sam68	4	0.13205678441729946	0.07282104551922297	A_23_P308603, A_24_P237265, A_23_P37910, A_23_P98183	216	7	1437	3.801587301587301	0.999999997856215	0.7357112063831933	62.86630049596258
KEGG_PATHWAY	hsa05320:Autoimmune thyroid disease	13	0.4291845493562232	0.0757793268039848	A_32_P234459, A_24_P912382, A_24_P166443, A_24_P311926, A_24_P298409, A_24_P326082, A_32_P356316, A_32_P87697, A_23_P70539, A_23_P408353, A_23_P31006, A_24_P50245, A_23_P145264, A_23_P12128, A_24_P343233	773	51	5085	1.6768130279278592	0.999999632017136	0.49003823218729414	62.38313347856608
KEGG_PATHWAY	hsa04670:Leukocyte transendothelial migration	25	0.8253549026081214	0.07728847770566107	A_24_P353912, A_24_P936692, A_23_P258018, A_32_P217709, A_23_P29347, A_24_P115183, A_23_P69491, A_23_P218774, A_23_P119102, A_24_P79300, A_23_P66319, A_23_P144113, A_23_P36364, A_23_P37942, A_23_P47410, A_23_P163506, A_23_P54809, A_23_P40174, A_23_P215406, A_24_P184555, A_24_P70993, A_23_P71017, A_23_P115021, A_23_P405088, A_23_P164284, A_23_P122976, A_23_P502274	773	118	5085	1.3937005284276538	0.9999997293565962	0.48185410369587367	63.13815961906243
BIOCARTA	h_pyk2Pathway:Links between Pyk2 and Map Kinases	8	0.2641135688345989	0.08053071133188816	A_23_P308603, A_23_P66319, A_23_P200443, A_24_P237265, A_32_P217709, A_23_P215406, A_23_P37910, A_23_P98183, A_23_P121215	216	26	1437	2.047008547008547	0.9999999997635016	0.7497556619578296	66.71450859079944
KEGG_PATHWAY	hsa03030:DNA replication	10	0.3301419610432486	0.08436597249252695	A_23_P14193, A_23_P163099, A_23_P161615, A_24_P52714, A_23_P132277, A_23_P25019, A_23_P360215, A_23_P154234, A_23_P39116, A_23_P50455	773	36	5085	1.8272962483829238	0.9999999363612425	0.49863377899338135	66.49665829328183
KEGG_PATHWAY	hsa05220:Chronic myeloid leukemia	17	0.5612413337735226	0.09486400871830364	A_23_P200443, A_23_P24997, A_24_P237265, A_24_P178011, A_23_P43490, A_23_P397910, A_24_P208992, A_23_P48936, A_23_P215956, A_23_P98183, A_24_P341897, A_23_P208870, A_24_P79054, A_23_P212715, A_23_P80032, A_23_P37910, A_32_P205624, A_23_P59210	773	75	5085	1.4910737386804658	0.9999999927188356	0.5274061849140728	70.96289530277895
KEGG_PATHWAY	hsa04370:VEGF signaling pathway	17	0.5612413337735226	0.09486400871830364	A_23_P6464, A_23_P160618, A_24_P237265, A_23_P29347, A_32_P217709, A_23_P38106, A_23_P215406, A_23_P98183, A_23_P218774, A_23_P208870, A_24_P184555, A_23_P308603, A_23_P218203, A_23_P70849, A_23_P140394, A_23_P37910, A_32_P205624, A_23_P502274	773	75	5085	1.4910737386804658	0.9999999927188356	0.5274061849140728	70.96289530277895
BIOCARTA	h_At1rPathway:Angiotensin II mediated activation of JNK Pathway via Pyk2 dependent signaling	8	0.2641135688345989	0.09550409900808882	A_23_P308603, A_23_P200443, A_24_P237265, A_23_P215790, A_32_P217709, A_23_P215406, A_23_P37910, A_23_P98183, A_23_P121215	216	27	1437	1.97119341563786	0.9999999999969001	0.7896123761459887	73.15721253708543
BIOCARTA	h_agrPathway:Agrin in Postsynaptic Differentiation	8	0.2641135688345989	0.09550409900808882	A_23_P308603, A_24_P237265, A_23_P215790, A_23_P347432, A_32_P217709, A_24_P24819, A_23_P215406, A_23_P37910, A_24_P184555	216	27	1437	1.97119341563786	0.9999999999969001	0.7896123761459887	73.15721253708543
